INITIAL FERN BIOMASS (g),FINAL FERN BIOMASS (g),GROWTH DURATION (days),SOIL REE CONCENTRATION (mg/kg),PLANT REE CONCENTRATION (mg/kg),HARVESTED BIOMASS (g),EXTRACTION EFFICIENCY (%),INITIAL SOIL REE (mg/kg),FINAL SOIL REE (mg/kg),BIOMASS INCREASE (g),GROWTH RATE (g/day),GROWTH EFFICIENCY (%),TOTAL METAL (mg),UPTAKE (%),BAF,RECOVERED METAL (mg),EXTRACTION LOSS (mg),RECOVERY PERCENTAGE (%),Reduction (%),Safety Index,Environmental Status
111.79,300.35,107.18,2420.86,253.37,248.03,57.39,2652.59,364.29,188.56,1.76,62.78,62.84,10.47,0.105,36.06,26.78,57.39,86.27,1.21,Unsafe
21.91,109.04,164.6,877.95,755.37,210.28,79.46,3639.33,2123.61,87.13,0.53,79.91,158.84,86.04,0.86,126.21,32.62,79.46,41.65,7.08,Unsafe
71.88,103.03,66.82,4841.48,2490.12,346.43,69.17,2605.44,1115.63,31.15,0.47,30.23,862.64,51.43,0.514,596.72,265.92,69.17,57.18,3.72,Unsafe
38.5,395.52,92.14,1639.68,336.76,269.07,87.32,255.1,58.04,357.01,3.87,90.27,90.61,20.54,0.205,79.12,11.49,87.32,77.25,0.19,Safe
80.13,493.31,54.01,1185.49,470.3,409.98,69.36,2422.95,383.6,413.18,7.65,83.76,192.82,39.67,0.397,133.74,59.08,69.36,84.17,1.28,Unsafe
141.99,321.02,35.45,4227.15,2557.61,184.07,73.92,582.86,549.25,179.03,5.05,55.77,470.77,60.5,0.605,348.01,122.76,73.92,5.77,1.83,Unsafe
51.57,223.04,177.32,1413.86,1230.62,446.19,81.84,127.88,63.93,171.47,0.97,76.88,549.09,87.04,0.87,449.35,99.73,81.84,50.01,0.21,Safe
127.1,347.46,49.79,4959.78,958.84,80.93,94.08,2939.24,2935.7,220.35,4.43,63.42,77.6,19.33,0.193,73.0,4.59,94.08,0.12,9.79,Unsafe
75.73,390.45,161.85,4968.62,120.27,268.71,89.22,3370.41,621.84,314.72,1.94,80.6,32.32,2.42,0.024,28.84,3.48,89.22,81.55,2.07,Unsafe
95.14,457.72,161.11,4762.67,2172.28,403.77,83.85,3019.63,2476.79,362.57,2.25,79.21,877.09,45.61,0.456,735.48,141.61,83.85,17.98,8.26,Unsafe
37.53,136.63,135.12,3017.27,430.18,54.8,72.8,3679.68,2315.54,99.1,0.73,72.53,23.58,14.26,0.143,17.16,6.41,72.8,37.07,7.72,Unsafe
74.23,429.28,80.2,1367.7,83.73,259.8,51.79,1027.63,23.31,355.04,4.43,82.71,21.75,6.12,0.061,11.27,10.49,51.79,97.73,0.08,Safe
119.28,239.32,121.9,2987.0,2576.45,326.21,69.69,857.44,605.26,120.04,0.98,50.16,840.47,86.26,0.863,585.73,254.74,69.69,29.41,2.02,Unsafe
121.1,416.22,103.53,2332.66,1722.2,266.0,62.39,1420.64,976.8,295.12,2.85,70.9,458.11,73.83,0.738,285.81,172.29,62.39,31.24,3.26,Unsafe
132.42,495.67,111.9,4124.78,2170.83,310.25,74.0,4956.01,2987.98,363.24,3.25,73.28,673.5,52.63,0.526,498.36,175.14,74.0,39.71,9.96,Unsafe
93.56,326.26,90.81,4959.94,1847.09,287.27,51.03,1889.21,65.13,232.71,2.56,71.33,530.62,37.24,0.372,270.8,259.82,51.03,96.55,0.22,Safe
43.26,128.14,113.72,3373.15,1696.22,227.21,90.46,1448.66,1001.32,84.89,0.75,66.24,385.39,50.29,0.503,348.62,36.77,90.46,30.88,3.34,Unsafe
31.12,117.2,71.87,2305.83,237.36,249.55,42.65,2121.14,1283.48,86.08,1.2,73.45,59.23,10.29,0.103,25.27,33.97,42.65,39.49,4.28,Unsafe
24.0,263.76,65.56,580.32,281.0,486.76,76.83,4314.04,1227.28,239.76,3.66,90.9,136.78,48.42,0.484,105.09,31.69,76.83,71.55,4.09,Unsafe
111.03,377.18,127.02,3617.52,2283.9,155.39,56.78,2136.48,1562.32,266.15,2.1,70.56,354.89,63.13,0.631,201.5,153.39,56.78,26.87,5.21,Unsafe
37.18,118.71,148.7,1330.41,768.12,98.16,91.93,3580.25,1250.17,81.54,0.55,68.68,75.4,57.74,0.577,69.32,6.09,91.93,65.08,4.17,Unsafe
141.44,446.7,120.82,583.85,156.71,359.96,53.18,1692.2,1341.53,305.26,2.53,68.34,56.41,26.84,0.268,30.0,26.41,53.18,20.72,4.47,Unsafe
57.11,122.93,122.4,1608.74,1470.9,145.25,89.15,4082.26,950.64,65.82,0.54,53.54,213.65,91.43,0.914,190.47,23.18,89.15,76.71,3.17,Unsafe
109.41,234.25,157.52,4936.5,901.16,225.53,56.93,1765.88,148.66,124.84,0.79,53.29,203.24,18.26,0.183,115.7,87.54,56.93,91.58,0.5,Safe
112.34,444.72,47.08,3508.23,2426.65,437.15,68.46,1253.12,1236.94,332.38,7.06,74.74,1060.81,69.17,0.692,726.18,334.63,68.46,1.29,4.12,Unsafe
36.16,270.47,131.7,4463.21,197.46,253.66,82.97,3635.56,430.51,234.3,1.78,86.63,50.09,4.42,0.044,41.56,8.53,82.97,88.16,1.44,Unsafe
83.22,410.29,107.02,2083.77,1136.01,491.02,76.76,2443.64,668.21,327.08,3.06,79.72,557.81,54.52,0.545,428.19,129.61,76.76,72.66,2.23,Unsafe
81.32,315.03,34.85,2470.46,414.81,285.09,91.04,1633.34,1604.38,233.71,6.71,74.19,118.26,16.79,0.168,107.67,10.59,91.04,1.77,5.35,Unsafe
